sample,library,country,region,city,location,instrument,date
SRR10002908,SRR10002908,USA,North America,New York City,"New York City, 77th St.",SASS 3100 electret filter air sampler,2017-06-21
SRR10002909,SRR10002909,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-29
SRR10002910,SRR10002910,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-29
SRR10002911,SRR10002911,Norway,Europe,Oslo,"Oslo, Vestli",SASS 3100 electret filter air sampler,2017-06-21
SRR10002912,SRR10002912,Norway,Europe,Oslo,"Oslo, Romsaas",SASS 3100 electret filter air sampler,2017-06-21
SRR10002913,SRR10002913,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002914,SRR10002914,Hong Kong,Asia,Hong Kong,"Hong Kong, Admiralty",SASS 3100 electret filter air sampler,2017-07-05
SRR10002915,SRR10002915,Sweden,Europe,Stockholm,"Stockholm, Tekniska hoegskolan",SASS 3100 electret filter air sampler,2017-09-26
SRR10002916,SRR10002916,Sweden,Europe,Stockholm,"Stockholm, T-centralen",SASS 3100 electret filter air sampler,2017-09-26
SRR10002917,SRR10002917,Sweden,Europe,Stockholm,"Stockholm, Danderyd",SASS 3100 electret filter air sampler,2017-09-27
SRR10002918,SRR10002918,Sweden,Europe,Stockholm,"Stockholm, Universitetet",SASS 3100 electret filter air sampler,2017-09-27
SRR10002919,SRR10002919,Sweden,Europe,Stockholm,"Stockholm, Skanstull",SASS 3100 electret filter air sampler,2017-09-26
SRR10002920,SRR10002920,Sweden,Europe,Stockholm,"Stockholm, Fridhemsplan",SASS 3100 electret filter air sampler,2017-09-26
SRR10002921,SRR10002921,Sweden,Europe,Stockholm,"Stockholm, Slussen",SASS 3100 electret filter air sampler,2017-09-26
SRR10002922,SRR10002922,Sweden,Europe,Stockholm,"Stockholm, Medborgarplatsen",SASS 3100 electret filter air sampler,2017-09-26
SRR10002923,SRR10002923,Hong Kong,Asia,Hong Kong,"Hong Kong, Shek Kip Mei",SASS 3100 electret filter air sampler,2017-07-13
SRR10002924,SRR10002924,Hong Kong,Asia,Hong Kong,"Hong Kong, Prince Edward",SASS 3100 electret filter air sampler,2017-07-13
SRR10002925,SRR10002925,Hong Kong,Asia,Hong Kong,"Hong Kong, North Point",SASS 3100 electret filter air sampler,2017-07-05
SRR10002926,SRR10002926,Sweden,Europe,Stockholm,"Stockholm, Universitetet",SASS 3100 electret filter air sampler,2017-09-27
SRR10002927,SRR10002927,Sweden,Europe,Stockholm,"Stockholm, Danderyd",SASS 3100 electret filter air sampler,2017-09-27
SRR10002928,SRR10002928,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002929,SRR10002929,Hong Kong,Asia,Hong Kong,"Hong Kong, Sha Tin Wai",SASS 3100 electret filter air sampler,2017-07-13
SRR10002930,SRR10002930,USA,North America,Denver,"Denver, Blake & 38th",SASS 3100 electret filter air sampler,2017-06-27
SRR10002931,SRR10002931,Norway,Europe,Oslo,"Oslo, Jernbanetorget",SASS 3100 electret filter air sampler,2017-06-27
SRR10002932,SRR10002932,Sweden,Europe,Stockholm,"Stockholm, Skanstull",SASS 3100 electret filter air sampler,2017-09-26
SRR10002933,SRR10002933,Sweden,Europe,Stockholm,"Stockholm, Fridhemsplan",SASS 3100 electret filter air sampler,2017-09-26
SRR10002934,SRR10002934,uncalculated,uncalculated,,"Stockholm, Fridhemsplan",SASS 3100 electret filter air sampler,2017-06-21
SRR10002935,SRR10002935,United Kingdom,Europe,London,"London, Euston",SASS 3100 electret filter air sampler,2017-08-21
SRR10002936,SRR10002936,United Kingdom,Europe,London,"London, Euston",SASS 3100 electret filter air sampler,2017-07-23
SRR10002937,SRR10002937,Sweden,Europe,Stockholm,"Stockholm, Danderyd",SASS 3100 electret filter air sampler,2017-06-21
SRR10002938,SRR10002938,Sweden,Europe,Stockholm,"Stockholm, Universitetet",SASS 3100 electret filter air sampler,2017-06-21
SRR10002939,SRR10002939,United Kingdom,Europe,London,"London, Brixton",SASS 3100 electret filter air sampler,2017-07-23
SRR10002940,SRR10002940,United Kingdom,Europe,London,"London, Brixton",SASS 3100 electret filter air sampler,2017-08-21
SRR10002941,SRR10002941,United Kingdom,Europe,London,"London, Oxford Circus",SASS 3100 electret filter air sampler,2017-08-18
SRR10002942,SRR10002942,United Kingdom,Europe,London,"London, Oxford Circus",SASS 3100 electret filter air sampler,2017-06-21
SRR10002943,SRR10002943,United Kingdom,Europe,London,"London, Pimlico",SASS 3100 electret filter air sampler,2017-08-18
SRR10002944,SRR10002944,United Kingdom,Europe,London,"London, Pimlico",SASS 3100 electret filter air sampler,2017-06-21
SRR10002945,SRR10002945,Hong Kong,Asia,Hong Kong,"Hong Kong, Shek Kip Mei",SASS 3100 electret filter air sampler,2017-07-11
SRR10002946,SRR10002946,Hong Kong,Asia,Hong Kong,"Hong Kong, Prince Edward",SASS 3100 electret filter air sampler,2017-07-11
SRR10002947,SRR10002947,Norway,Europe,Oslo,"Oslo, Montebello",SASS 3100 electret filter air sampler,2017-06-21
SRR10002948,SRR10002948,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-26
SRR10002949,SRR10002949,Hong Kong,Asia,Hong Kong,"Hong Kong, Hung Hom",SASS 3100 electret filter air sampler,2017-07-07
SRR10002950,SRR10002950,Hong Kong,Asia,Hong Kong,"Hong Kong, Mong Kok East",SASS 3100 electret filter air sampler,2017-07-07
SRR10002951,SRR10002951,Hong Kong,Asia,Hong Kong,"Hong Kong, Tsim Sha Tsui",SASS 3100 electret filter air sampler,2017-07-07
SRR10002952,SRR10002952,Hong Kong,Asia,Hong Kong,"Hong Kong, East Tsim Sha Tsui",SASS 3100 electret filter air sampler,2017-07-07
SRR10002953,SRR10002953,Hong Kong,Asia,Hong Kong,"Hong Kong, Che Kung Temple",SASS 3100 electret filter air sampler,2017-07-11
SRR10002954,SRR10002954,Hong Kong,Asia,Hong Kong,"Hong Kong, Sha Tin Wai",SASS 3100 electret filter air sampler,2017-07-11
SRR10002955,SRR10002955,Hong Kong,Asia,Hong Kong,"Hong Kong, Kowloon Tong",SASS 3100 electret filter air sampler,2017-07-11
SRR10002956,SRR10002956,Hong Kong,Asia,Hong Kong,"Hong Kong, Tai Wai",SASS 3100 electret filter air sampler,2017-07-11
SRR10002957,SRR10002957,Norway,Europe,Oslo,"Oslo, Romsaas",SASS 3100 electret filter air sampler,2017-06-27
SRR10002958,SRR10002958,Norway,Europe,Oslo,"Oslo, Vestli",SASS 3100 electret filter air sampler,2017-06-27
SRR10002959,SRR10002959,USA,North America,Denver,"Denver, Boulder Central",SASS 3100 electret filter air sampler,2017-06-27
SRR10002960,SRR10002960,Norway,Europe,Oslo,"Oslo, Lindeberg",SASS 3100 electret filter air sampler,2017-06-26
SRR10002961,SRR10002961,Norway,Europe,Oslo,"Oslo, Ellingsrudaasen",SASS 3100 electret filter air sampler,2017-06-26
SRR10002962,SRR10002962,Norway,Europe,Oslo,"Oslo, Toeyen",SASS 3100 electret filter air sampler,2017-06-26
SRR10002963,SRR10002963,Norway,Europe,Oslo,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-26
SRR10002964,SRR10002964,Norway,Europe,Oslo,"Oslo, Forskningsparken",SASS 3100 electret filter air sampler,2017-06-26
SRR10002965,SRR10002965,Norway,Europe,Oslo,"Oslo, Majorstua",SASS 3100 electret filter air sampler,2017-06-26
SRR10002966,SRR10002966,Norway,Europe,Oslo,"Oslo, Loeren",SASS 3100 electret filter air sampler,2017-06-26
SRR10002967,SRR10002967,Norway,Europe,Oslo,"Oslo, Nydalen",SASS 3100 electret filter air sampler,2017-06-26
