sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
SRR23083725	44	137.62144084136256	60888091	74.96010213866975	16600000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	cleaned
SRR23083727	48	129.63212063340677	6119101	35.01675445385432	1585600000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	cleaned
SRR23083729	50	138.73586207783572	76505673	82.81505668348251	21100000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083731	50	130.38034847518162	26466562	65.46951680483807	6800000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083733	43.5	139.91988846557342	21280425	33.38924937925749	5800000000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	cleaned
SRR23083734	50	103.55194962571771	21793978	64.54704632381426	4400000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083736	51	102.29131969237723	39892365	72.02649122886531	8000000000	pass/pass	NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083738	48	138.11559213490767	15883399	85.08652473436595	4200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	cleaned
SRR23083740	48.5	139.671225674881	26041702	61.862266649363875	7200000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083742	50	127.10376402072788	29126965	74.85215422938427	7300000000	pass/pass	NA	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083744	49	133.50986774966424	17932204	48.15980544971759	4600000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	cleaned
SRR23083747	45	137.87044596298188	21108030	36.499018395990944	5800000000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	cleaned
SRR23083749	50	116.29356077670701	18346017	62.9841025351448	4200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083751	46	116.90302915355298	1500023	77.52881503848589	350500000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	cleaned
SRR23083753	50	128.20226055337434	3579566	43.78436770040267	917300000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/warn	pass/pass	cleaned
SRR23083755	50	134.2110604383192	25510951	45.84902775646363	6800000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	cleaned
SRR23083756	49	117.29981297993734	88216204	78.14126808432385	20600000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083758	47	132.6348957983608	7580351	18.848617845748215	2000000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
SRR23083760	45.5	138.8604627523912	21825495	31.940305963776623	6000000000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	cleaned
SRR23083762	49	124.94831817317831	48527648	73.2764329944259	12000000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	cleaned
SRR23083764	45	130.09636093928657	2526641	66.60233634895997	656800000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	cleaned
SRR23083766	49	133.0440174348961	46514989	51.22529290427883	12300000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	cleaned
SRR23083769	49	131.72449016046022	8621389	25.696839669714926	2200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	cleaned
SRR23083771	52	137.66044898713523	24711443	32.129188858310314	6700000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	cleaned
SRR23083773	49	117.77556629076867	23222434	20.835641539796747	5400000000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
SRR23083775	50	134.29254599036415	62352844	77.09842988531919	16600000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083778	48	121.81387335528265	25732917	71.37202122683448	6200000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083780	50	112.68200737572103	5615451	54.22079793884211	1264900000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/warn	warn/warn	pass/pass	cleaned
SRR23083782	49	126.12840858532817	25375850	67.53514740929195	6300000000	pass/pass	NA	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083784	49	126.81211565701071	16792618	63.03194916258802	4200000000	pass/pass	NA	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	cleaned
SRR23083786	49	106.6727772355267	19922095	64.58668354933856	4200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083787	49	127.0621557317314	64468801	72.65371815511801	16200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083789	49	118.60422482103374	22303785	69.82243998416699	5200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083790	53	129.81943611884668	26439543	48.57786453318361	6800000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	cleaned
SRR23083792	50	122.08913705333433	35770994	68.76341687238106	8600000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083794	50.5	136.90808802844003	13134437	6.351617714920856	3400000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
SRR23083795	49	118.78387090692357	89372415	73.404574611485	21100000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083797	49	117.69998684559036	17993966	72.48243367223162	4200000000	pass/pass	NA	pass/pass	warn/fail	warn/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SRR23083798	51	106.97150879351327	28995578	59.381565033524154	6100000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083799	50	117.5507181805282	21691482	65.19464485577068	5000000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083801	50	118.07653968245924	44601583	66.94949629500148	10400000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083804	51	116.53366583947921	17778719	62.852982610533694	4000000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083806	50	135.75285168714757	54536575	77.09983972174413	14700000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083808	50.5	113.86329996100031	9359050	50.73483465171742	2000000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	cleaned
SRR23083810	50	125.92610765717038	37511742	69.11336087737301	9400000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083813	49.5	119.5730203507077	22231905	63.33137629846671	5200000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	cleaned
SRR23083818	48	120.80795889811499	29599713	68.29033477188558	7000000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083820	47.5	125.17882698309515	53486629	73.46618968387772	13300000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083822	48	92.6041574461228	18021352	63.2338700952701	3200000000	pass/pass	NA	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083823	48	105.41221620564565	25281819	68.60527542290794	5200000000	pass/pass	NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083825	50	122.35706197715561	22890176	64.26752881277751	5500000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083716	49	124.2553940162871	18713097	33.383861098535384	4600000000	pass/pass	NA/NA	pass/pass	warn/fail	warn/fail	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083718	48	124.30367520286183	10227898	27.462283281861552	2400000000	pass/pass	NA/NA	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083720	49	131.19150818351972	14295316	7.584424105216755	3600000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083722	44	135.1256043252252	13003346	4.459676534851489	3400000000	pass/pass	pass/pass	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083725	44	132.77083557672938	17727959	17.22632064174394	4600000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083727	47.5	132.22414326548284	5067906	12.936561853683578	1339400000	pass/pass	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR23083729	49.5	138.31799889442675	27813625	36.31185434573267	7600000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/pass	warn/pass	pass/pass	dedup
SRR23083731	50	134.62461268137787	15688311	21.186253615461474	4200000000	pass/pass	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083733	44	139.61658152984788	15786746	6.224975127184429	4300000000	pass/pass	pass/pass	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083734	50	112.45134368470931	10931880	27.75984755366619	2400000000	pass/pass	NA/NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083736	50	112.25305431938264	15959202	22.74533892408752	3400000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083738	49	132.70525611999784	3620998	31.114502136975418	960300000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	dedup
SRR23083740	48.5	141.4378547060802	18512158	26.02301137147773	5200000000	pass/pass	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083742	50	134.40418421186752	15598995	33.24815325754376	4000000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083744	49	134.6821667949314	11630893	9.69152730237574	3000000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083747	45	137.57108724812213	15030994	6.718409818295498	4000000000	pass/pass	pass/pass	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083749	49	124.186196706873	9591856	19.078659863784033	2200000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR23083751	47	99.28835201509051	358371	16.535898111825368	71000000	pass/pass	fail/fail	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083753	50	132.23928096973964	2852147	25.282559211779976	753900000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083755	49.5	135.79995900160156	19383684	12.298229675772411	5200000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083756	49	126.35487243768333	45691903	34.97471889895827	11400000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083758	47	133.85523627224643	6843800	15.12803989067202	1831100000	pass/pass	pass/pass	pass/pass	warn/fail	pass/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083760	46	138.61272711300614	16107620	5.063926465396868	4400000000	pass/pass	pass/pass	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR23083762	49	125.64874047066104	16011735	16.835750648413352	4000000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083764	46	117.60269210090962	916979	12.696793973585798	215400000	pass/pass	warn/warn	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083766	49	134.66291621579387	34788084	23.13647551765557	9300000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	dedup
SRR23083769	49	133.00578255090403	7688043	8.57145714043515	2000000000	pass/pass	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083771	52	139.18485847410466	21628692	9.548508014855777	6000000000	pass/pass	NA/NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR23083773	49	124.33180120075404	18512867	3.4002386602184345	4500000000	pass/pass	pass/pass	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
