sample	classification	n_reads	p_reads
SRR10002682	Bacterial	1179575	0.2730380127151933
SRR10002682	Archaeal	1635	3.7845592759200644e-4
SRR10002682	Viral	1046	2.421192050527454e-4
SRR10002682	Human	999056	0.23125300623630557
SRR10002683	Filtered	225620	0.06164438767494758
SRR10002683	Duplicate	322471	0.08810622878259028
SRR10002683	Ribosomal	8565	0.002340147949809086
SRR10002683	Unassigned	1065064	0.2909991051973689
SRR10002683	Bacterial	957056	0.26148892425598186
SRR10002683	Archaeal	1051	2.8715650849379443e-4
SRR10002683	Viral	961	2.6256651252382155e-4
SRR10002683	Human	1079237	0.2948714831182847
SRR10002684	Filtered	162792	0.049692186343867295
SRR10002684	Duplicate	309110	0.09435569143909295
SRR10002684	Ribosomal	9312	0.0028424839011382146
SRR10002684	Unassigned	1141733	0.34851349569353923
SRR10002684	Bacterial	839188	0.2561617676147311
SRR10002684	Archaeal	696	2.1245369364177377e-4
SRR10002684	Viral	826	2.5213613641969127e-4
SRR10002684	Human	812351	0.24796978517756976
SRR10002685	Filtered	282582	0.06665697963789698
SRR10002685	Duplicate	399879	0.09432563418980192
SRR10002685	Ribosomal	8483	0.002001016194479054
SRR10002685	Unassigned	1059984	0.250034793102521
SRR10002685	Bacterial	790824	0.1865438678513148
SRR10002685	Archaeal	719	1.6960163194983376e-4
SRR10002685	Viral	640	1.509666821250259e-4
SRR10002685	Human	1696235	0.4001171407099114
SRR10002686	Filtered	339980	0.07510838888551372
SRR10002686	Duplicate	400667	0.08851536222599013
SRR10002686	Ribosomal	11747	0.0025951474917293065
SRR10002686	Unassigned	1410497	0.31160702746588165
SRR10002686	Bacterial	1136035	0.250972876544369
SRR10002686	Archaeal	2104	4.648157250871253e-4
SRR10002686	Viral	825	1.822590176791247e-4
SRR10002686	Human	1224670	0.2705541226437499
SRR10002687	Filtered	449834	0.07262698994697565
SRR10002687	Duplicate	600205	0.09690481933585393
SRR10002687	Ribosomal	11737	0.001894972325363697
SRR10002687	Unassigned	1202386	0.19412866954117355
SRR10002687	Bacterial	1210981	0.19551635695162775
SRR10002687	Archaeal	1123	1.813115720698161e-4
SRR10002687	Viral	662	1.068817993857687e-4
SRR10002687	Human	2716830	0.4386399985275498
SRR10002688	Filtered	159982	0.13426309799959046
SRR10002688	Duplicate	43753	0.03671921420394845
SRR10002688	Ribosomal	10154	0.008521630540234786
SRR10002688	Unassigned	110299	0.09256719784886316
SRR10002688	Bacterial	854248	0.7169180466549621
SRR10002688	Archaeal	13	1.0910104099177882e-5
SRR10002688	Viral	175	1.4686678595047148e-4
SRR10002688	Human	12932	0.010853035862351413
SRR10002689	Filtered	599909	0.13453296636143233
SRR10002689	Duplicate	211271	0.04737870966454274
SRR10002689	Ribosomal	26182	0.005871460713666609
SRR10002689	Unassigned	3001195	0.6730348535846252
SRR10002689	Bacterial	566302	0.12699640764917988
SRR10002689	Archaeal	1710	3.8347711482583077e-4
SRR10002689	Viral	207	4.6420913899968986e-5
SRR10002689	Human	52421	0.011755703997827412
SRR10002690	Filtered	429228	0.08937474037311312
SRR10002690	Duplicate	251210	0.05230746486512936
SRR10002690	Ribosomal	20431	0.0042541850032222365
SRR10002690	Unassigned	2029668	0.42262166154960945
SRR10002690	Bacterial	800092	0.1665968081639707
SRR10002690	Archaeal	1592	3.314895269507024e-4
SRR10002690	Viral	510	1.0619325298043858e-4
SRR10002690	Human	1269834	0.264407457265024
SRR10002691	Filtered	628381	0.2539530827296175
SRR10002691	Duplicate	109317	0.04417923066539821
SRR10002691	Ribosomal	9916	0.004007439385256535
SRR10002691	Unassigned	1362383	0.5505916994759937
SRR10002691	Bacterial	301697	0.1219274344709299
SRR10002691	Archaeal	420	1.6973825552720297e-4
SRR10002691	Viral	158	6.385391517451922e-5
SRR10002691	Human	62126	0.02510752110210241
SRR10002692	Filtered	1483857	0.2899388744480812
SRR10002692	Duplicate	232137	0.04535850860140447
SRR10002692	Ribosomal	16213	0.003167946083367023
SRR10002692	Unassigned	1890541	0.36940306891968017
SRR10002692	Bacterial	710411	0.13881106180416025
SRR10002692	Archaeal	452	8.83187337125698e-5
SRR10002692	Viral	505	9.867469142665432e-5
SRR10002692	Human	783711	0.1531335467181677
SRR10002693	Filtered	700543	0.15459003826006518
SRR10002693	Duplicate	238612	0.052654923693921246
SRR10002693	Ribosomal	17365	0.0038319646536844015
SRR10002693	Unassigned	1891746	0.4174548693204061
SRR10002693	Bacterial	955493	0.21085029673728015
SRR10002693	Archaeal	467	1.030536995836807e-4
SRR10002693	Viral	1236	2.727502627096988e-4
SRR10002693	Human	726156	0.16024210337234956
SRR10002694	Filtered	643701	0.14051726076247686
SRR10002694	Duplicate	206231	0.04501937266573513
SRR10002694	Ribosomal	28334	0.006185194782117815
SRR10002694	Unassigned	3094348	0.6754833452268192
SRR10002694	Bacterial	513630	0.11212330048490059
SRR10002694	Archaeal	1399	3.0539590245580656e-4
SRR10002694	Viral	182	3.9729845780526655e-5
SRR10002694	Human	93114	0.02032640032971406
SRR10002695	Filtered	327947	0.09200553132382848
SRR10002695	Duplicate	217599	0.061047399764394106
SRR10002695	Ribosomal	11536	0.0032364248166675876
SRR10002695	Unassigned	1945277	0.5457474651605995
SRR10002695	Bacterial	402600	0.11294943058168956
SRR10002695	Archaeal	803	2.252816511602005e-4
SRR10002695	Viral	363	1.018396505244742e-4
SRR10002695	Human	658302	0.18468662705113614
SRR10002696	Filtered	504787	0.13672787256460747
SRR10002696	Duplicate	223865	0.06063663523758705
SRR10002696	Ribosomal	12076	0.003270935640359597
SRR10002696	Unassigned	1867699	0.5058896343627012
SRR10002696	Bacterial	441332	0.11954029215230057
SRR10002696	Archaeal	739	2.0016739302962424e-4
SRR10002696	Viral	364	9.859395272365795e-5
SRR10002696	Human	641048	0.17363586869669087
SRR10002697	Filtered	1524213	0.3304099893000276
SRR10002697	Duplicate	295463	0.06404874297001406
SRR10002697	Ribosomal	8821	0.0019121648454747094
SRR10002697	Unassigned	720501	0.1561859974299256
SRR10002697	Bacterial	698244	0.15136125500097983
SRR10002697	Archaeal	290	6.286450574624938e-5
SRR10002697	Viral	686	1.487070722135416e-4
SRR10002697	Human	1364878	0.29587027887561845
SRR10002698	Filtered	651509	0.15681758335287008
SRR10002698	Duplicate	224068	0.05393294991582755
SRR10002698	Ribosomal	12864	0.0030963523025028367
SRR10002698	Unassigned	1358905	0.32708711331099327
SRR10002698	Bacterial	696660	0.1676853851882483
SRR10002698	Archaeal	416	1.0013079585208178e-4
SRR10002698	Viral	779	1.8750454319416276e-4
SRR10002698	Human	1209365	0.29109298059051175
SRR10002699	Filtered	393779	0.08964481186561758
SRR10002699	Duplicate	216493	0.049285193611703894
SRR10002699	Ribosomal	21665	0.004932093506938168
SRR10002699	Unassigned	2651654	0.6036559185805042
SRR10002699	Bacterial	680700	0.1549631225558648
SRR10002699	Archaeal	881	2.0056193766962964e-4
SRR10002699	Viral	742	1.6891822673196957e-4
SRR10002699	Human	426744	0.09714937971496984
SRR10002700	Filtered	384742	0.07601049134519339
SRR10002700	Duplicate	295215	0.058323336683988924
SRR10002700	Ribosomal	17689	0.003494678463503142
SRR10002700	Unassigned	2834060	0.5599032419173336
SRR10002700	Bacterial	919345	0.18162785754023947
SRR10002700	Archaeal	1044	2.062549785684482e-4
SRR10002700	Viral	475	9.384206400384377e-5
SRR10002700	Human	609126	0.12034029700716914
SRR10002701	Filtered	308676	0.07063900661064995
SRR10002701	Duplicate	252152	0.05770376315258914
SRR10002701	Ribosomal	12185	0.002788478195748194
SRR10002701	Unassigned	2117790	0.48464597769171675
SRR10002701	Bacterial	894953	0.20480565668604298
SRR10002701	Archaeal	929	2.1259714762823738e-4
SRR10002701	Viral	836	1.9131454835006077e-4
SRR10002701	Human	782246	0.17901320596727469
SRR10002702	Filtered	548125	0.15268952234399621
SRR10002702	Duplicate	193231	0.05382777485437215
SRR10002702	Ribosomal	14429	0.004019442860481681
SRR10002702	Unassigned	2295197	0.6393660818524481
SRR10002702	Bacterial	440947	0.12283327125932607
SRR10002702	Archaeal	781	2.1756080629539075e-4
SRR10002702	Viral	142	3.955651023552559e-5
SRR10002702	Human	96949	0.027006789512844864
SRR10002703	Filtered	340611	0.06918870233324557
SRR10002703	Duplicate	290098	0.05892793882014931
SRR10002703	Ribosomal	13012	0.0026431424550592657
SRR10002703	Unassigned	2076308	0.42176282082532995
SRR10002703	Bacterial	814113	0.16537170561909498
SRR10002703	Archaeal	898	1.8241176795598068e-4
SRR10002703	Viral	463	9.404972000403012e-5
SRR10002703	Human	1387425	0.28182922845916086
SRR10002704	Filtered	361793	0.09093315102785604
SRR10002704	Duplicate	244627	0.06148461671865221
SRR10002704	Ribosomal	11081	0.0027851015540369018
SRR10002704	Unassigned	1983736	0.4985927458170695
SRR10002704	Bacterial	494174	0.1242058275755466
SRR10002704	Archaeal	695	1.7468148904030743e-4
SRR10002704	Viral	231	5.805960283210218e-5
SRR10002704	Human	882333	0.2217658162149663
SRR10002705	Filtered	477607	0.12983153952233242
SRR10002705	Duplicate	189186	0.05142786775753282
SRR10002705	Ribosomal	12733	0.003461308131450876
SRR10002705	Unassigned	1710685	0.46502850081293035
SRR10002705	Bacterial	689104	0.18732437592203915
SRR10002705	Archaeal	1696	4.6103656569077873e-4
SRR10002705	Viral	246	6.687204903297852e-5
SRR10002705	Human	597410	0.16239849923899063
SRR10002706	Filtered	535194	0.13630792897238153
SRR10002706	Duplicate	192905	0.04913074705325034
SRR10002706	Ribosomal	13741	0.0034996790920852902
SRR10002706	Unassigned	1958947	0.49892190221986776
SRR10002706	Bacterial	738085	0.1879819985941177
SRR10002706	Archaeal	1331	3.38990821014884e-4
SRR10002706	Viral	267	6.800191525993542e-5
SRR10002706	Human	485890	0.12375075133202254
SRR10002707	Filtered	444979	0.1496137094317571
SRR10002707	Duplicate	153172	0.05150047777778525
SRR10002707	Ribosomal	11360	0.0038195324703969424
SRR10002707	Unassigned	1555603	0.5230348740798323
SRR10002707	Bacterial	491623	0.165296655958975
SRR10002707	Archaeal	1337	4.4953476346133026e-4
SRR10002707	Viral	154	5.177887327826841e-5
SRR10002707	Human	315958	0.10623343664451383
SRR10002708	Filtered	545969	0.12120521229765517
SRR10002708	Duplicate	259964	0.057712052899977155
SRR10002708	Ribosomal	15621	0.003467864697998735
SRR10002708	Unassigned	2476226	0.5497225996841826
SRR10002708	Bacterial	757588	0.1681846668476708
SRR10002708	Archaeal	1353	3.003662336849298e-4
SRR10002708	Viral	261	5.794204507891107e-5
SRR10002708	Human	447519	0.09934929529375174
SRR10002709	Filtered	695024	0.1812239206271852
SRR10002709	Duplicate	168701	0.04398791499822563
SRR10002709	Ribosomal	15955	0.004160183898119691
SRR10002709	Unassigned	2374068	0.6190259772260244
SRR10002709	Bacterial	548204	0.14294136343997538
SRR10002709	Archaeal	1010	2.633522868756432e-4
SRR10002709	Viral	167	4.354438802795289e-5
SRR10002709	Human	32038	0.008353743135566196
SRR10002710	Filtered	420704	0.12400486818381314
SRR10002710	Duplicate	172755	0.050920507062197265
SRR10002710	Ribosomal	11874	0.00349992822700663
SRR10002710	Unassigned	1903059	0.5609373346605196
SRR10002710	Bacterial	596559	0.1758391176667381
SRR10002710	Archaeal	3277	9.659141653950417e-4
SRR10002710	Viral	283	8.341584034385012e-5
SRR10002710	Human	284130	0.08374891419398633
SRR10002711	Filtered	382448	0.17199032226149683
SRR10002711	Duplicate	111861	0.05030490272793502
SRR10002711	Ribosomal	6812	0.0030634179685743324
SRR10002711	Unassigned	926704	0.41674716458451383
SRR10002711	Bacterial	423945	0.19065189822185047
SRR10002711	Archaeal	1018	4.578038009407913e-4
SRR10002711	Viral	170	7.645053650288264e-5
SRR10002711	Human	370702	0.16670803989818586
SRR10002712	Filtered	487784	0.16104955721474837
SRR10002712	Duplicate	174534	0.05762514436496255
SRR10002712	Ribosomal	6750	0.002228618632836566
SRR10002712	Unassigned	1420666	0.46905521757591007
SRR10002712	Bacterial	553273	0.18267178027339043
SRR10002712	Archaeal	1638	5.408114549016734e-4
SRR10002712	Viral	212	6.999513335723733e-5
SRR10002712	Human	383925	0.12675887534989314
SRR10002713	Filtered	280363	0.07521067939443657
SRR10002713	Duplicate	217141	0.05825063269542469
SRR10002713	Ribosomal	11303	0.0030321629786930395
SRR10002713	Unassigned	2017160	0.5411269463063303
SRR10002713	Bacterial	713148	0.19131035689011622
SRR10002713	Archaeal	3877	0.001040050948278591
SRR10002713	Viral	367	9.845207583653414e-5
SRR10002713	Human	484343	0.12993071871088407
SRR10002714	Filtered	498998	0.0801438032932329
SRR10002714	Duplicate	346492	0.05564989577248577
SRR10002714	Ribosomal	15231	0.002446242806502692
SRR10002714	Unassigned	2892877	0.4646234358444677
SRR10002714	Bacterial	1260539	0.20245449813315586
SRR10002714	Archaeal	2954	4.744403683546026e-4
SRR10002714	Viral	896	1.439060832923913e-4
SRR10002714	Human	1208296	0.19406377769850808
SRR10002715	Filtered	437335	0.06659467160399304
SRR10002715	Duplicate	405126	0.06169008409626325
SRR10002715	Ribosomal	16510	0.0025140407883703
SRR10002715	Unassigned	3010995	0.45849571432943864
SRR10002715	Bacterial	1145462	0.17442387580425323
SRR10002715	Archaeal	1515	2.3069483915087854e-4
SRR10002715	Viral	761	1.1588037794971522e-4
SRR10002715	Human	1549413	0.23593503816058098
SRR10002716	Filtered	347743	0.05851385775705769
SRR10002716	Duplicate	369782	0.06222230598206235
SRR10002716	Ribosomal	19177	0.003226866537089446
SRR10002716	Unassigned	3075922	0.5175778157426731
SRR10002716	Bacterial	1055653	0.17763212913793008
SRR10002716	Archaeal	1211	2.0377198604658284e-4
SRR10002716	Viral	640	1.0769122301388359e-4
SRR10002716	Human	1072789	0.1805155616341268
SRR10002717	Filtered	318050	0.07346548265701817
SRR10002717	Duplicate	212495	0.04908362753404521
SRR10002717	Ribosomal	16105	0.003720049043204772
SRR10002717	Unassigned	2440623	0.56375270139544
SRR10002717	Bacterial	944083	0.21807109971163557
SRR10002717	Archaeal	1137	2.6263245961650577e-4
SRR10002717	Viral	355	8.200046012652556e-5
SRR10002717	Human	396396	0.0915624067389133
SRR10002718	Filtered	350261	0.07735019047093247
SRR10002718	Duplicate	250823	0.055390713851929556
SRR10002718	Ribosomal	10830	0.0023916524043504665
SRR10002718	Unassigned	2162421	0.47754010931375257
SRR10002718	Bacterial	879421	0.19420769612985148
SRR10002718	Archaeal	4212	9.30160658090874e-4
SRR10002718	Viral	577	1.27422293380445e-4
SRR10002718	Human	869705	0.19206205487771214
SRR10002719	Filtered	254946	0.07135885685208318
SRR10002719	Duplicate	186570	0.052220556207562226
SRR10002719	Ribosomal	14293	0.0040005810680960865
SRR10002719	Unassigned	1942360	0.5436625371459536
SRR10002719	Bacterial	743595	0.20813069889672633
SRR10002719	Archaeal	931	2.6058496987318666e-4
SRR10002719	Viral	307	8.592866353498207e-5
SRR10002719	Human	429729	0.12028025619617037
SRR10002720	Filtered	465297	0.08675327009545344
SRR10002720	Duplicate	348380	0.06495443606095477
SRR10002720	Ribosomal	16572	0.0030898011206215697
SRR10002720	Unassigned	2830787	0.5277919891890521
SRR10002720	Bacterial	799184	0.14900552852901452
SRR10002720	Archaeal	835	1.5568331738589252e-4
SRR10002720	Viral	370	6.898542207518591e-5
SRR10002720	Human	902027	0.16818030626544248
SRR10002721	Filtered	456021	0.08943006841673512
SRR10002721	Duplicate	306485	0.06010463228382698
SRR10002721	Ribosomal	19080	0.00374177001802835
SRR10002721	Unassigned	2830148	0.555019021644806
SRR10002721	Bacterial	1087562	0.2132812832466954
SRR10002721	Archaeal	1513	2.967137336099001e-4
SRR10002721	Viral	360	7.05994343024217e-5
SRR10002721	Human	398022	0.0780559112219958
SRR10002722	Filtered	378250	0.07983073562466364
SRR10002722	Duplicate	225835	0.047663117461456475
SRR10002722	Ribosomal	14878	0.0031400441100429494
SRR10002722	Unassigned	2625478	0.5541145805852495
SRR10002722	Bacterial	913143	0.19272142080769922
SRR10002722	Archaeal	1720	3.6301087977375134e-4
SRR10002722	Viral	399	8.42100819940272e-5
SRR10002722	Human	578447	0.12208288044912044
SRR10002723	Filtered	437569	0.11774502306362179
SRR10002723	Duplicate	217354	0.05848757965708369
SRR10002723	Ribosomal	16059	0.004321300927119386
SRR10002723	Unassigned	2196688	0.5911046697174188
SRR10002723	Bacterial	460580	0.12393703101143574
SRR10002723	Archaeal	2813	7.569474754335159e-4
SRR10002723	Viral	241	6.485045914663254e-5
SRR10002723	Human	384938	0.1035825976887404
SRR10002724	Filtered	368965	0.06855887285210598
SRR10002724	Duplicate	481425	0.08945551844436496
SRR10002724	Ribosomal	14078	0.0026158898866069894
SRR10002724	Unassigned	1573548	0.292387292178623
SRR10002724	Bacterial	1619945	0.30100850563713305
SRR10002724	Archaeal	1945	3.614082845184397e-4
SRR10002724	Viral	1044	1.9398984526336816e-4
SRR10002724	Human	1320775	0.2454185228713842
SRR10002725	Filtered	426227	0.07611574288866484
SRR10002725	Duplicate	535631	0.09565314135237428
SRR10002725	Ribosomal	10931	0.001952061191609155
SRR10002725	Unassigned	2139243	0.3820266434655149
SRR10002725	Bacterial	1352230	0.2414816306952381
SRR10002725	Archaeal	2953	5.27347607613378e-4
SRR10002725	Viral	602	1.0750533687208044e-4
SRR10002725	Human	1131905	0.20213592746211329
SRR10002726	Filtered	207528	0.06327868012689399
SRR10002726	Duplicate	327545	0.09987382561468088
SRR10002726	Ribosomal	10385	0.0031665562869482387
SRR10002726	Unassigned	1586605	0.4837818042998084
SRR10002726	Bacterial	697718	0.21274562536513733
SRR10002726	Archaeal	2010	6.128818619899817e-4
SRR10002726	Viral	323	9.848798080734531e-5
SRR10002726	Human	447474	0.13644213846373385
SRR10002727	Filtered	291998	0.06405569197951433
SRR10002727	Duplicate	403089	0.08842575916386568
SRR10002727	Ribosomal	10924	0.0023964012739272683
SRR10002727	Unassigned	1123673	0.2465004951187912
SRR10002727	Bacterial	1179170	0.25867488925089865
SRR10002727	Archaeal	1809	3.9684089202988174e-4
SRR10002727	Viral	696	1.5268173623703577e-4
SRR10002727	Human	1547143	0.33939724058473597
SRR10002728	Filtered	419722	0.07103260457509261
SRR10002728	Duplicate	536630	0.09081779509563936
SRR10002728	Ribosomal	17363	0.0029384666832744837
SRR10002728	Unassigned	1835525	0.31063923623897927
SRR10002728	Bacterial	1794132	0.3036339980070619
SRR10002728	Archaeal	1966	3.327204687736932e-4
SRR10002728	Viral	1174	1.9868455256374153e-4
SRR10002728	Human	1302352	0.2204064943786149
SRR10002729	Filtered	235486	0.05299765108548118
SRR10002729	Duplicate	447043	0.10060992557607146
SRR10002729	Ribosomal	11223	0.002525808914892415
SRR10002729	Unassigned	1500844	0.3377746729985558
SRR10002729	Bacterial	1174115	0.2642421931844345
SRR10002729	Archaeal	928	2.0885241673529014e-4
SRR10002729	Viral	849	1.9107295453476436e-4
SRR10002729	Human	1072841	0.24144982286929462
SRR10002730	Filtered	327503	0.06305212216097185
SRR10002730	Duplicate	503820	0.09699734105379443
SRR10002730	Ribosomal	12906	0.002484712166329782
SRR10002730	Unassigned	1616778	0.31126824475858766
SRR10002730	Bacterial	1173157	0.22586064395745764
SRR10002730	Archaeal	1094	2.1062103749920825e-4
SRR10002730	Viral	1187	2.2852575092464369e-4
SRR10002730	Human	1557718	0.2998977891144348
SRR10002731	Filtered	411257	0.07107422476838839
SRR10002731	Duplicate	522396	0.09028148024740495
SRR10002731	Ribosomal	17963	0.0031044001670842334
SRR10002731	Unassigned	2942831	0.5085857066247654
SRR10002731	Bacterial	1247493	0.21559413670525032
SRR10002731	Archaeal	2331	4.028478978719227e-4
SRR10002731	Viral	424	7.327649450780576e-5
SRR10002731	Human	641608	0.11088392709472698
SRR10002732	Filtered	358858	0.06816789081831179
SRR10002732	Duplicate	470287	0.08933470305600374
SRR10002732	Ribosomal	12791	0.0024297507411205157
SRR10002732	Unassigned	1633198	0.3102387656083609
SRR10002732	Bacterial	1397846	0.2655318078705612
SRR10002732	Archaeal	2078	3.94732393092677e-4
SRR10002732	Viral	1390	2.640413986519832e-4
SRR10002732	Human	1387878	0.2636383081138972
SRR10002733	Filtered	427820	0.0811492072199312
SRR10002733	Duplicate	491323	0.09319450221803155
SRR10002733	Ribosomal	11279	0.0021394088827862276
SRR10002733	Unassigned	1675356	0.317782738560972
SRR10002733	Bacterial	1440395	0.2732151660360731
SRR10002733	Archaeal	1404	2.663117360964504e-4
SRR10002733	Viral	884	1.676777597644317e-4
SRR10002733	Human	1223556	0.23208498758634505
SRR10002734	Filtered	296175	0.061768367838529445
SRR10002734	Duplicate	492109	0.10263111244585427
SRR10002734	Ribosomal	9584	0.001998777875797978
SRR10002734	Unassigned	2143894	0.44711685050668104
SRR10002734	Bacterial	1184687	0.2470707601570826
SRR10002734	Archaeal	6058	0.0012634178184040227
SRR10002734	Viral	903	1.8832391713747646e-4
SRR10002734	Human	661520	0.1379623894405132
SRR10002735	Filtered	309462	0.06397132740369996
SRR10002735	Duplicate	435139	0.08995100993052005
SRR10002735	Ribosomal	11888	0.002457462112230856
SRR10002735	Unassigned	1309685	0.2707353016871693
SRR10002735	Bacterial	1433050	0.2962370524842217
SRR10002735	Archaeal	1327	2.743146217135217e-4
SRR10002735	Viral	1040	2.1498659124496048e-4
SRR10002735	Human	1335920	0.27615854516919963
SRR10002736	Filtered	317364	0.09135021959353463
SRR10002736	Duplicate	206794	0.059523693016931355
SRR10002736	Ribosomal	10094	0.002905462234459922
SRR10002736	Unassigned	1624681	0.46764902799133945
SRR10002736	Bacterial	433816	0.12486982412368391
SRR10002736	Archaeal	1267	3.6469394205079466e-4
SRR10002736	Viral	351	1.0103202340949402e-4
SRR10002736	Human	879779	0.2532360470745904
SRR10002737	Filtered	548466	0.08965721521321432
SRR10002737	Duplicate	396457	0.06480844860353296
SRR10002737	Ribosomal	13311	0.0021759365060060164
SRR10002737	Unassigned	3257266	0.5324621740794976
SRR10002737	Bacterial	1548417	0.2531182538367003
SRR10002737	Archaeal	3820	6.244517656782347e-4
SRR10002737	Viral	421	6.882046946349131e-5
SRR10002737	Human	349208	0.057084699525907064
SRR10002738	Filtered	458654	0.12145103393343805
SRR10002738	Duplicate	204551	0.054164861621437264
SRR10002738	Ribosomal	11035	0.0029220548811424055
SRR10002738	Unassigned	1705265	0.4515521447114911
SRR10002738	Bacterial	615187	0.1629007862406301
SRR10002738	Archaeal	2064	5.465447462327073e-4
SRR10002738	Viral	283	7.493806355806985e-5
SRR10002738	Human	779413	0.2063876358020703
SRR10002739	Filtered	705090	0.15567673976357377
SRR10002739	Duplicate	270251	0.059668687114901045
SRR10002739	Ribosomal	13356	0.002948869699304048
SRR10002739	Unassigned	2160897	0.477104199357369
SRR10002739	Bacterial	626167	0.13825133969782255
SRR10002739	Archaeal	1005	2.218938340671285e-4
SRR10002739	Viral	403	8.897832351149532e-5
SRR10002739	Human	752024	0.166039292209451
SRR10002740	Filtered	356790	0.0926827418235321
SRR10002740	Duplicate	252479	0.06558604773918429
SRR10002740	Ribosomal	11878	0.0030855282025278575
SRR10002740	Unassigned	1785842	0.4639051907946417
SRR10002740	Bacterial	639440	0.166106259793266
SRR10002740	Archaeal	1887	4.901828353401302e-4
SRR10002740	Viral	1034	2.686004513734471e-4
SRR10002740	Human	800234	0.2078754483601345
SRR10002741	Filtered	266006	0.09372236397703643
SRR10002741	Duplicate	168546	0.059384109978247036
SRR10002741	Ribosomal	8877	0.003127649094472126
SRR10002741	Unassigned	1520095	0.5355777571546251
SRR10002741	Bacterial	466105	0.16422359819521576
SRR10002741	Archaeal	3382	0.0011915860355418194
SRR10002741	Viral	210	7.398967104192255e-5
SRR10002741	Human	405013	0.1426989458938199
SRR10002742	Filtered	476284	0.13575854177373367
SRR10002742	Duplicate	174675	0.04978883037080173
SRR10002742	Ribosomal	10229	0.0029156430276967562
SRR10002742	Unassigned	1929036	0.5498465503544863
SRR10002742	Bacterial	556236	0.15854781651715052
SRR10002742	Archaeal	4445	0.0012669892714939955
SRR10002742	Viral	231	6.584353694378245e-5
SRR10002742	Human	357181	0.10180978514769333
SRR10002743	Filtered	427623	0.0774600203892211
SRR10002743	Duplicate	277697	0.05030228795463652
SRR10002743	Ribosomal	9163	0.0016597941804496787
SRR10002743	Unassigned	1982908	0.3591857643530625
SRR10002743	Bacterial	975239	0.1766556822817379
SRR10002743	Archaeal	1208	2.1881822219613792e-4
SRR10002743	Viral	291	5.271200551248025e-5
SRR10002743	Human	1846435	0.3344649206131837
SRR10002744	Filtered	546275	0.14597634129082876
SRR10002744	Duplicate	192270	0.05137864837304955
SRR10002744	Ribosomal	18130	0.004844723019729487
SRR10002744	Unassigned	2383832	0.6370107978801866
SRR10002744	Bacterial	391045	0.10449557160783877
