sample,library,country,region,city,location,instrument,date
SRR10002851,SRR10002851,Norway,Europe,Oslo,"Oslo, Majorstua",SASS 3100 electret filter air sampler,2017-06-27
SRR10002852,SRR10002852,Norway,Europe,Oslo,"Oslo, Toeyen",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002853,SRR10002853,Norway,Europe,Oslo,"Oslo, Helsfyr",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002854,SRR10002854,Norway,Europe,Oslo,"Oslo, Lindeberg",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002855,SRR10002855,Norway,Europe,Oslo,"Oslo, Ellingsrudaasen",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002856,SRR10002856,Norway,Europe,Oslo,"Oslo, Forskningsparken",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002857,SRR10002857,Norway,Europe,Oslo,"Oslo, Majorstua",Bobcat ACD-200 electret filter air sampler,2017-06-21
SRR10002858,SRR10002858,Hong Kong,Asia,Hong Kong,"Hong Kong, Quarry Bay",SASS 3100 electret filter air sampler,2017-07-12
SRR10002859,SRR10002859,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-27
SRR10002860,SRR10002860,USA,North America,New York City,"New York City, 68th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002861,SRR10002861,USA,North America,New York City,"New York City, 57th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002862,SRR10002862,USA,North America,New York City,"New York City, 96th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002863,SRR10002863,USA,North America,New York City,"New York City, 28th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002864,SRR10002864,USA,North America,New York City,"New York City, 33rd St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002865,SRR10002865,USA,North America,New York City,"New York City, 86th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002866,SRR10002866,USA,North America,New York City,"New York City, Grand Central 42nd St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002867,SRR10002867,USA,North America,New York City,"New York City, 51st St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002868,SRR10002868,USA,North America,New York City,"New York City, 77th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002869,SRR10002869,USA,North America,New York City,"New York City, 59th St.",SASS 3100 electret filter air sampler,2017-06-22
SRR10002870,SRR10002870,Hong Kong,Asia,Hong Kong,"Hong Kong, Quarry Bay",SASS 3100 electret filter air sampler,2017-07-05
SRR10002871,SRR10002871,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-29
SRR10002872,SRR10002872,USA,North America,Denver,"Denver, Denver Airport",SASS 3100 electret filter air sampler,2017-06-29
SRR10002873,SRR10002873,USA,North America,Denver,"Denver, Boulder Central",SASS 3100 electret filter air sampler,2017-06-27
SRR10002874,SRR10002874,USA,North America,Denver,"Denver, Boulder Central",SASS 3100 electret filter air sampler,2017-06-27
