sample	classification	n_reads	p_reads
SRR10002801	Viral	508	1.313735910634925e-4
SRR10002801	Human	349475	0.09037753097817725
SRR10002802	Filtered	311960	0.08498741779750296
SRR10002802	Duplicate	350498	0.09548634428513011
SRR10002802	Ribosomal	11971	0.0032612654777981406
SRR10002802	Unassigned	1808345	0.492648326827239
SRR10002802	Bacterial	525020	0.14303145945648482
SRR10002802	Archaeal	737	2.0078127617886805e-4
SRR10002802	Viral	269	7.328380365280259e-5
SRR10002802	Human	661861	0.1803111210760133
SRR10002803	Filtered	191576	0.055890734512592743
SRR10002803	Duplicate	305104	0.08901160198944595
SRR10002803	Ribosomal	9274	0.0027056138131591905
SRR10002803	Unassigned	2049557	0.5979415279336976
SRR10002803	Bacterial	542790	0.15835455268974305
SRR10002803	Archaeal	630	1.8379735845269464e-4
SRR10002803	Viral	172	5.0179596275973775e-5
SRR10002803	Human	328585	0.0958619921066328
SRR10002804	Filtered	224687	0.06598859244679123
SRR10002804	Duplicate	320583	0.09415240281978786
SRR10002804	Ribosomal	11613	0.003410635791499226
SRR10002804	Unassigned	2166604	0.6363125073973469
SRR10002804	Bacterial	493004	0.14479093152090627
SRR10002804	Archaeal	812	2.3847724642188682e-4
SRR10002804	Viral	233	6.843004731071383e-5
SRR10002804	Human	187401	0.05503802272993597
SRR10002805	Filtered	228431	0.05653222369665619
SRR10002805	Duplicate	384710	0.09520823258813647
SRR10002805	Ribosomal	13164	0.0032578336247828976
SRR10002805	Unassigned	2182135	0.5400359143737183
SRR10002805	Bacterial	637376	0.15773814679653786
SRR10002805	Archaeal	907	2.2446483573975145e-4
SRR10002805	Viral	479	1.1854317124513886e-4
SRR10002805	Human	593520	0.14688464091318335
SRR10002806	Filtered	248892	0.06168177328035156
SRR10002806	Duplicate	368765	0.09138935411234127
SRR10002806	Ribosomal	11259	0.0027902668039289256
SRR10002806	Unassigned	2019418	0.5004631857764049
SRR10002806	Bacterial	878621	0.21774464957232761
SRR10002806	Archaeal	1735	4.299771653625265e-4
SRR10002806	Viral	341	8.450848033926314e-5
SRR10002806	Human	506067	0.12541628480894393
SRR10002807	Filtered	395948	0.08585856066975003
SRR10002807	Duplicate	444022	0.0962830720844751
SRR10002807	Ribosomal	14728	0.0031936640203867137
SRR10002807	Unassigned	2035384	0.44135881643609387
SRR10002807	Bacterial	1172081	0.25415758546162953
SRR10002807	Archaeal	1086	2.3549152132943855e-4
SRR10002807	Viral	556	1.205647199439851e-4
SRR10002807	Human	547826	0.11879224508639134
SRR10002808	Filtered	584309	0.1530167108539369
SRR10002808	Duplicate	219667	0.0575255931761307
SRR10002808	Ribosomal	12257	0.0032098184777860765
SRR10002808	Unassigned	1822536	0.4772790837260606
SRR10002808	Bacterial	609040	0.1594931749784476
SRR10002808	Archaeal	690	1.8069468464325633e-4
SRR10002808	Viral	418	1.0946431620417556e-4
SRR10002808	Human	569679	0.14918545978679074
SRR10002809	Filtered	362182	0.09239395659411093
SRR10002809	Duplicate	237170	0.06050293688097501
SRR10002809	Ribosomal	12553	0.0032023163413031973
SRR10002809	Unassigned	1929691	0.49227125172992175
SRR10002809	Bacterial	643844	0.16424696586075166
SRR10002809	Archaeal	1580	4.0306379504971335e-4
SRR10002809	Viral	417	1.0637822945299396e-4
SRR10002809	Human	732538	0.18687313056843474
SRR10002810	Filtered	333483	0.06316040074712999
SRR10002810	Duplicate	511006	0.09678257585600437
SRR10002810	Ribosomal	12806	0.00242540726803989
SRR10002810	Unassigned	1693034	0.32065414404487325
SRR10002810	Bacterial	1222760	0.23158605271501295
SRR10002810	Archaeal	1231	2.3314667710113262e-4
SRR10002810	Viral	1219	2.3087392314076414e-4
SRR10002810	Human	1504399	0.28492739876869766
SRR10002811	Filtered	253661	0.08564345103324773
SRR10002811	Duplicate	192837	0.06510747086425739
SRR10002811	Ribosomal	9523	0.0032152462703750996
SRR10002811	Unassigned	1552300	0.5241023611785433
SRR10002811	Bacterial	338858	0.11440847639260375
SRR10002811	Archaeal	580	1.9582514300299882e-4
SRR10002811	Viral	269	9.082235080656325e-5
SRR10002811	Human	613798	0.20723634676716324
SRR10002812	Filtered	1076352	0.7372965819395382
SRR10002812	Duplicate	32575	0.022313737658944708
SRR10002812	Ribosomal	1584	0.0010850333216199054
SRR10002812	Unassigned	55288	0.037872046897551345
SRR10002812	Bacterial	263525	0.1805135139393217
SRR10002812	Archaeal	20	1.3699915677019008e-5
SRR10002812	Viral	213	1.4590410196025245e-4
SRR10002812	Human	30306	0.020759482225386903
SRR10002813	Filtered	435894	0.5055560903588118
SRR10002813	Duplicate	34163	0.03962273560757452
SRR10002813	Ribosomal	701	8.130298176655953e-4
SRR10002813	Unassigned	40880	0.04741320819710348
SRR10002813	Bacterial	319848	0.37096428119929437
SRR10002813	Archaeal	19	2.2036471520180187e-5
SRR10002813	Viral	314	3.64181687228241e-4
SRR10002813	Human	30388	0.035244436660801876
SRR10002814	Filtered	588862	0.8735049403904548
SRR10002814	Duplicate	8186	0.01214293237131325
SRR10002814	Ribosomal	785	0.0011644517360714513
SRR10002814	Unassigned	21776	0.03230203949642283
SRR10002814	Bacterial	39044	0.057917010933979295
SRR10002814	Archaeal	10	1.483378007734333e-5
SRR10002814	Viral	26	3.856782820109266e-5
SRR10002814	Human	15448	0.022915223463479975
SRR10002815	Filtered	645707	0.8601639315872697
SRR10002815	Duplicate	9172	0.01221827172466527
SRR10002815	Ribosomal	749	9.977633582396736e-4
SRR10002815	Unassigned	18934	0.02522249856463282
SRR10002815	Bacterial	43561	0.0580287979282756
SRR10002815	Archaeal	6	7.992763884429963e-6
SRR10002815	Viral	42	5.5949347191009736e-5
SRR10002815	Human	32508	0.04330479472584154
SRR10002816	Filtered	1110735	0.8475017911657189
SRR10002816	Duplicate	17756	0.013548003622770963
SRR10002816	Ribosomal	1300	9.919128581663804e-4
SRR10002816	Unassigned	27324	0.020848482258875523
SRR10002816	Bacterial	126715	0.09668479832504069
SRR10002816	Archaeal	12	9.156118690766588e-6
SRR10002816	Viral	103	7.859001876241322e-5
SRR10002816	Human	26654	0.020337265631974386
SRR10002817	Filtered	340709	0.7141653373802332
SRR10002817	Duplicate	8784	0.018412276527910824
SRR10002817	Ribosomal	474	9.935586377766085e-4
SRR10002817	Unassigned	12809	0.02684914048793371
SRR10002817	Bacterial	103183	0.2162834618601346
SRR10002817	Archaeal	2	4.192230539141809e-6
SRR10002817	Viral	40	8.384461078283617e-5
SRR10002817	Human	11072	0.023208188264689053
SRR10002818	Filtered	411842	0.06097689895242362
SRR10002818	Duplicate	658827	0.09754524163666746
SRR10002818	Ribosomal	16139	0.0023895235847562046
SRR10002818	Unassigned	2207921	0.326902491032809
SRR10002818	Bacterial	1869467	0.27679134317017334
SRR10002818	Archaeal	1981	2.9330480335845103e-4
SRR10002818	Viral	1290	1.909960607432619e-4
SRR10002818	Human	1586599	0.23491020075906868
SRR10002819	Filtered	369571	0.05436254691454364
SRR10002819	Duplicate	694346	0.1021357655225267
SRR10002819	Ribosomal	17185	0.0025278508560640104
SRR10002819	Unassigned	2924119	0.43012724570166067
SRR10002819	Bacterial	1660634	0.24427320794349736
SRR10002819	Archaeal	2349	3.455293372647286e-4
SRR10002819	Viral	1040	1.5298020892095263e-4
SRR10002819	Human	1129021	0.16607487351552197
SRR10002820	Filtered	412697	0.06145065396210699
SRR10002820	Duplicate	580920	0.08649908746530068
SRR10002820	Ribosomal	15565	0.0023176311650440766
SRR10002820	Unassigned	2047209	0.3048297706237532
SRR10002820	Bacterial	2116762	0.31518622423263926
SRR10002820	Archaeal	1926	2.867817297703111e-4
SRR10002820	Viral	1320	1.965482260108051e-4
SRR10002820	Human	1539510	0.22923330259537467
SRR10002821	Filtered	282787	0.05640751395392164
SRR10002821	Duplicate	434645	0.08669862441520391
SRR10002821	Ribosomal	9852	0.0019651781286764806
SRR10002821	Unassigned	1104430	0.22030061719997623
SRR10002821	Bacterial	1087794	0.21698223480567436
SRR10002821	Archaeal	1447	2.8863304427475313e-4
SRR10002821	Viral	765	1.5259452582597522e-4
SRR10002821	Human	2091566	0.41720460392644665
SRR10002822	Filtered	393246	0.07297302262437226
SRR10002822	Duplicate	305456	0.056682197908561695
SRR10002822	Ribosomal	16030	0.002974620346217602
SRR10002822	Unassigned	2683008	0.49787462170084823
SRR10002822	Bacterial	1062615	0.1971850404988158
SRR10002822	Archaeal	1742	3.232556857835972e-4
SRR10002822	Viral	906	1.6812264714118202e-4
SRR10002822	Human	925920	0.17181911858825966
SRR10002823	Filtered	546529	0.07745579230874323
SRR10002823	Duplicate	387502	0.05491799050228373
SRR10002823	Ribosomal	16066	0.0022769235653227345
SRR10002823	Unassigned	2070612	0.29345358256193443
SRR10002823	Bacterial	825824	0.11703834970802204
SRR10002823	Archaeal	643	9.11279629343034e-5
SRR10002823	Viral	1062	1.5050994811233314e-4
SRR10002823	Human	3207774	0.4546157234426472
SRR10002824	Filtered	457611	0.07566633469742214
SRR10002824	Duplicate	351784	0.05816775795424049
SRR10002824	Ribosomal	16773	0.0027734285930186586
SRR10002824	Unassigned	3085180	0.5101369120973771
SRR10002824	Bacterial	1023003	0.1691543415574952
SRR10002824	Archaeal	3634	6.008847258707331e-4
SRR10002824	Viral	1070	1.7692533205329784e-4
SRR10002824	Human	1108694	0.18332341504252242
SRR10002825	Filtered	509932	0.07527688241290152
SRR10002825	Duplicate	396975	0.058602010456024686
SRR10002825	Ribosomal	19424	0.0028673983275970113
SRR10002825	Unassigned	3314645	0.4893125787467975
SRR10002825	Bacterial	1223059	0.1805496978558728
SRR10002825	Archaeal	1853	2.735424784306663e-4
SRR10002825	Viral	1148	1.6946938221176734e-4
SRR10002825	Human	1307049	0.19294842034016402
SRR10002826	Filtered	519934	0.08435595463150264
SRR10002826	Duplicate	348527	0.05654626894923918
SRR10002826	Ribosomal	13750	0.002230849254296048
SRR10002826	Unassigned	2999573	0.4866614683822952
SRR10002826	Bacterial	1187719	0.19269978512459982
SRR10002826	Archaeal	2949	4.784563237032033e-4
SRR10002826	Viral	734	1.190867892838763e-4
SRR10002826	Human	1090386	0.17690813054508003
SRR10002827	Filtered	485863	0.07335290264246062
SRR10002827	Duplicate	422417	0.06377417723827558
SRR10002827	Ribosomal	16981	0.002563697255752391
SRR10002827	Unassigned	3956809	0.597377090562179
SRR10002827	Bacterial	1096792	0.165587576734655
SRR10002827	Archaeal	2235	3.3742791158392283e-4
SRR10002827	Viral	692	1.0447432430249423e-4
SRR10002827	Human	641848	0.09690265333079093
SRR10002828	Filtered	457571	0.0701953198108779
SRR10002828	Duplicate	408330	0.06264132765926113
SRR10002828	Ribosomal	19409	0.0029775072332148
SRR10002828	Unassigned	3796105	0.5823550979207001
SRR10002828	Bacterial	1395159	0.21402936853958096
SRR10002828	Archaeal	4704	7.216339855243658e-4
SRR10002828	Viral	552	8.468153911765518e-5
SRR10002828	Human	436710	0.06699506331172318
SRR10002829	Filtered	314732	0.06469544125431027
SRR10002829	Duplicate	266491	0.05477915444029333
SRR10002829	Ribosomal	12951	0.0026621718150190397
SRR10002829	Unassigned	2056131	0.42265261340335986
SRR10002829	Bacterial	800949	0.1646408658070948
SRR10002829	Archaeal	899	1.8479595874466194e-4
SRR10002829	Viral	788	1.6197910510655573e-4
SRR10002829	Human	1411884	0.2902229782160715
SRR10002830	Filtered	308664	0.07253496865851292
SRR10002830	Duplicate	265912	0.06248839704637563
SRR10002830	Ribosomal	19520	0.0045871322480566966
SRR10002830	Unassigned	2185939	0.5136880778270905
SRR10002830	Bacterial	613218	0.14410410158241962
SRR10002830	Archaeal	604	1.4193790357716417e-4
SRR10002830	Viral	544	1.2783811183108825e-4
SRR10002830	Human	860981	0.2023275466221364
SRR10002831	Filtered	282456	0.07073759626507416
SRR10002831	Duplicate	238660	0.05976943214030715
SRR10002831	Ribosomal	19467	0.004875268312559119
SRR10002831	Unassigned	2838577	0.7108863461683427
SRR10002831	Bacterial	511775	0.1281676909980964
SRR10002831	Archaeal	1246	3.1204522101241393e-4
SRR10002831	Viral	581	1.4550423226983346e-4
SRR10002831	Human	100249	0.025106116662338272
SRR10002832	Filtered	412309	0.08262851128436734
SRR10002832	Duplicate	262315	0.05256906334219922
SRR10002832	Ribosomal	12631	0.0025313071653367833
SRR10002832	Unassigned	2396836	0.48033632657249264
SRR10002832	Bacterial	1108062	0.22206042912179613
SRR10002832	Archaeal	1723	3.4529667056252693e-4
SRR10002832	Viral	751	1.505036561767021e-4
SRR10002832	Human	795285	0.15937856218706864
SRR10002833	Filtered	424908	0.08140575454471781
SRR10002833	Duplicate	280586	0.05375590726624162
SRR10002833	Ribosomal	14340	0.0027473206439305765
SRR10002833	Unassigned	2295194	0.43972342106175705
SRR10002833	Bacterial	919726	0.17620517618965786
SRR10002833	Archaeal	1655	3.170722221551677e-4
SRR10002833	Viral	1002	1.9196759311146709e-4
SRR10002833	Human	1282220	0.24565338047842847
SRR10002834	Filtered	508408	0.12187046648519023
SRR10002834	Duplicate	179085	0.04292845999767961
SRR10002834	Ribosomal	22271	0.005338580744385753
SRR10002834	Unassigned	2894539	0.6938498571807998
SRR10002834	Bacterial	530850	0.1272500376344653
SRR10002834	Archaeal	1689	4.04870139520791e-4
SRR10002834	Viral	199	4.770228405247922e-5
SRR10002834	Human	34667	0.008310025533906017
SRR10002835	Filtered	1124694	0.17414442405067015
SRR10002835	Duplicate	381806	0.05911775644672255
SRR10002835	Ribosomal	20672	0.0032007937572134763
SRR10002835	Unassigned	1965292	0.30430023049059535
SRR10002835	Bacterial	665492	0.10304289082215125
SRR10002835	Archaeal	753	1.1659238095886936e-4
SRR10002835	Viral	820	1.269664706325005e-4
SRR10002835	Human	2298869	0.35595034558105587
SRR10002836	Filtered	961536	0.1806800078620577
SRR10002836	Duplicate	325284	0.06112336478031148
SRR10002836	Ribosomal	17574	0.003302289730356224
SRR10002836	Unassigned	1607604	0.3020811528211897
SRR10002836	Bacterial	722316	0.13572873044679562
SRR10002836	Archaeal	565	1.061678444094268e-4
SRR10002836	Viral	704	1.32287013211038e-4
SRR10002836	Human	1686179	0.3168459995016688
SRR10002837	Filtered	368188	0.08703360334643528
SRR10002837	Duplicate	213523	0.05047333451209953
SRR10002837	Ribosomal	23378	0.0055261757010901065
SRR10002837	Unassigned	3007249	0.7108643318901327
SRR10002837	Bacterial	529568	0.1251811880261308
SRR10002837	Archaeal	1541	3.6426712102745546e-4
SRR10002837	Viral	383	9.053491716646038e-5
SRR10002837	Human	86582	0.020466564485917684
SRR10002838	Filtered	354560	0.07305105167471844
SRR10002838	Duplicate	421150	0.08677078749099636
SRR10002838	Ribosomal	13742	0.002831305144725803
SRR10002838	Unassigned	1844624	0.3800533707818869
SRR10002838	Bacterial	703657	0.14497654520610714
SRR10002838	Archaeal	513	1.0569491625995758e-4
SRR10002838	Viral	888	1.8295728194706105e-4
SRR10002838	Human	1514458	0.3120282875033583
SRR10002839	Filtered	260109	0.06356826301149175
SRR10002839	Duplicate	333170	0.08142370386083797
SRR10002839	Ribosomal	3865	9.445706859025086e-4
SRR10002839	Unassigned	223720	0.054675123893948054
SRR10002839	Bacterial	82208	0.020090884074171648
SRR10002839	Archaeal	66	1.612979696495875e-5
SRR10002839	Viral	59	1.44190609232207e-5
SRR10002839	Human	3188609	0.7792669056157598
SRR10002840	Filtered	429205	0.0845144610198327
SRR10002840	Duplicate	371403	0.07313270899954318
SRR10002840	Ribosomal	34880	0.006868196783289488
SRR10002840	Unassigned	3527016	0.6945022920243853
SRR10002840	Bacterial	425923	0.08386820465966195
SRR10002840	Archaeal	460	9.057828326585908e-5
SRR10002840	Viral	729	1.4354688804524187e-4
SRR10002840	Human	288864	0.05688001134197634
SRR10002841	Filtered	496384	0.08255033545885679
SRR10002841	Duplicate	664065	0.11043625200748963
SRR10002841	Ribosomal	15313	0.0025466036110782663
SRR10002841	Unassigned	2437731	0.40540289737069374
SRR10002841	Bacterial	1329435	0.22108952992188563
SRR10002841	Archaeal	1276	2.1220310897511054e-4
SRR10002841	Viral	1678	2.7905706650488676e-4
SRR10002841	Human	1067225	0.17748312145451595
SRR10002842	Filtered	873846	0.3322082894872902
SRR10002842	Duplicate	179647	0.06829604138660957
SRR10002842	Ribosomal	7140	0.002714399547448008
SRR10002842	Unassigned	1000361	0.3803052444936466
SRR10002842	Bacterial	250897	0.09538301166051301
SRR10002842	Archaeal	679	2.5813407461025177e-4
SRR10002842	Viral	195	7.413276074963047e-5
SRR10002842	Human	317651	0.12076074658913268
SRR10002843	Filtered	608452	0.21145050503646376
SRR10002843	Duplicate	222240	0.07723330721125693
SRR10002843	Ribosomal	7493	0.0026039829505667216
SRR10002843	Unassigned	1203405	0.41820980950577147
SRR10002843	Bacterial	279868	0.0972603096769261
SRR10002843	Archaeal	317	1.1016449957689187e-4
SRR10002843	Viral	235	8.166768896078735e-5
SRR10002843	Human	555505	0.19305025343047733
SRR10002844	Filtered	387751	0.10652154682897642
SRR10002844	Duplicate	334131	0.09179125511865274
SRR10002844	Ribosomal	8442	0.002319155587813362
